,날짜,지역명,강수량,사망자수,주야구분코드,부상자수,사고유형대분류코드,사고유형중분류코드,사고유형코드,가해자법규위반코드,도로형태대분류코드,도로형태코드,가해당사자종별코드,피해당사자종별코드,경도,위도
0,20160101,수원,0.0,1,2,1,2,23,Z1,5,01,05,1,03,127.02299112,37.23058533
1,20160104,파주,0.0,1,1,1,2,22,22,4,1,05,8,03,126.81352585,37.7413891
2,20160105,파주,0.0,1,2,4,2,22,22,2,1,05,1,01,126.87876134,37.6317263
3,20160105,파주,0.0,1,2,2,2,22,22,3,2,06,1,03,126.74602624,37.66204841
4,20160106,이천,0.0,1,1,1,3,34,31,5,1,2,7,##,127.45702414,37.33464027
5,20160106,이천,0.0,1,2,4,2,22,22,2,01,05,1,02,127.20318149,37.14944311
6,20160107,양평,0.0,1,2,1,1,11,01,5,1,5,3,12,127.35835773,37.81494919
7,20160109,파주,0.0,2,1,2,2,22,22,3,2,06,1,03,126.81156592,37.74222491
8,20160111,파주,0.0,1,1,1,1,11,01,5,1,Z2,2,12,126.84296977,37.61898587
9,20160112,양평,0.0,1,1,1,3,31,32,5,1,5,1,##,127.49804952,37.67480554
10,20160113,파주,0.0,1,2,1,3,31,32,5,1,05,7,##,126.73476845,37.73482026
11,20160115,파주,0.0,2,2,3,2,24,25,2,1,05,1,01,126.84347175,37.60957873
12,20160119,파주,0.0,1,2,1,1,11,01,5,1,05,2,12,126.74941085,37.67541767
13,20160119,양평,0.0,1,1,1,3,34,31,5,01,05,1,##,127.39639551,37.48861247
14,20160119,이천,0.0,1,2,4,2,21,21,2,1,5,1,01,127.48947441,37.28649506
15,20160120,파주,0.0,1,2,1,2,21,21,2,2,08,1,07,126.89728009,37.70601066
16,20160121,파주,0.0,1,1,1,1,11,01,5,2,06,2,12,126.84073145,37.65430554
17,20160124,양평,0.0,1,1,1,3,31,32,5,01,05,1,##,127.6671575,37.55614181
18,20160125,파주,0.0,1,1,2,2,22,22,3,2,06,1,01,126.78861671,37.6638272
19,20160125,동두천,0.0,1,1,1,1,11,01,5,01,05,3,12,127.22908421,37.76937744
20,20160129,수원,0.0,1,1,1,1,11,01,5,2,06,3,12,126.992332,37.13243902
21,20160201,동두천,0.0,1,2,2,2,21,21,2,1,5,1,1,127.04526834,37.89904154
22,20160202,파주,0.0,1,2,1,1,11,01,5,1,Z2,1,12,126.79814145,37.62881363
23,20160203,파주,0.0,1,1,5,2,22,22,3,2,06,2,01,126.79070195,37.65320412
24,20160203,수원,0.0,1,2,1,2,23,Z1,5,01,05,3,03,126.98211985,37.32047164
25,20160204,이천,0.0,1,2,1,2,21,21,5,01,05,3,03,127.2074065,37.19855359
26,20160204,이천,0.0,1,1,5,2,22,22,2,01,05,1,01,127.37680027,37.15179696
27,20160204,수원,0.0,1,1,1,1,15,05,5,01,05,3,12,127.024097,37.29313756
28,20160205,이천,0.0,1,2,2,1,11,01,5,02,08,1,12,127.1028583,37.33618994
29,20160205,파주,0.0,1,2,1,1,12,02,1,1,05,1,12,126.86944257,37.63742736
30,20160205,수원,0.0,1,1,1,1,11,01,5,1,05,1,12,126.91087221,37.13312584
31,20160205,파주,0.0,1,1,1,1,15,05,5,1,05,1,12,126.78308424,37.74503845
32,20160207,이천,0.0,1,2,4,1,13,03,1,01,05,1,12,127.06938069,37.2680359
33,20160208,파주,0.0,1,2,2,3,34,31,5,1,05,1,##,126.79623901,37.67790652
34,20160209,양평,0.0,1,1,1,3,34,31,5,01,05,5,##,127.62320895,37.44798689
35,20160219,이천,0.0,1,2,1,1,11,01,5,01,05,1,12,127.16448468,37.3360202
36,20160219,수원,0.0,1,2,1,1,11,01,1,01,05,1,12,127.07294999,37.24712741
37,20160224,파주,0.0,1,1,3,2,21,21,2,1,05,1,10,126.85554763,37.80760226
38,20160225,수원,0.0,1,1,1,1,11,01,5,02,08,3,12,127.01740476,37.24217271
39,20160225,이천,0.0,1,2,2,2,23,Z1,4,1,5,3,03,127.43392494,37.23444809
40,20160309,수원,0.0,1,2,1,1,11,01,5,01,05,1,12,127.01878062,37.27048212
41,20160309,파주,0.0,1,1,2,2,23,Z1,5,1,05,3,10,126.74240157,37.64720744
42,20160314,동두천,0.0,1,1,2,2,23,Z1,3,02,06,10,03,127.26267203,37.822141
43,20160314,파주,0.0,1,1,1,2,22,22,99,2,06,3,03,126.76684097,37.73706107
44,20160316,파주,0.0,1,2,1,1,11,01,5,1,05,1,12,126.82949849,37.77246814
45,20160316,파주,0.0,1,2,1,2,22,22,3,2,06,3,08,126.9008606,37.69104891
46,20160317,수원,0.0,1,2,1,1,11,01,5,01,05,1,12,126.98073255,37.29572252
47,20160318,수원,0.0,1,2,1,2,22,22,5,2,08,1,05,127.07200293,37.20522684
48,20160320,파주,0.0,1,2,1,3,34,31,5,1,05,10,##,126.74304122,37.82173236
49,20160322,수원,0.0,1,1,1,3,34,31,5,1,05,5,##,126.91944206,37.0709074
50,20160322,동두천,0.0,1,2,1,1,15,05,5,01,05,1,12,127.16804594,37.84235409
51,20160322,파주,0.0,1,1,1,2,24,25,5,1,Z1,2,08,126.74886302,37.68094017
52,20160323,수원,0.0,1,2,1,3,31,32,5,1,05,1,##,127.03144988,37.21353755
53,20160325,파주,0.0,1,1,2,2,23,Z1,3,2,06,1,02,126.74285551,37.72970797
54,20160325,이천,0.0,1,1,1,1,11,01,5,01,05,1,12,127.21533293,37.23326806
55,20160325,수원,0.0,1,2,2,3,31,32,5,2,08,1,##,127.00261806,37.20181895
56,20160326,수원,0.0,1,1,1,2,23,Z1,5,1,05,1,05,126.70491663,37.16484234
57,20160401,동두천,0.0,1,2,1,1,15,5,5,1,5,3,12,127.06637019,37.97412681
58,20160406,양평,0.0,1,1,1,2,24,25,5,01,05,1,05,127.43771918,37.51370848
59,20160411,이천,0.0,1,2,1,3,31,32,5,02,08,1,##,127.10466169,37.24401052
60,20160411,이천,0.0,1,2,1,2,21,21,5,02,08,1,10,127.21664037,37.23334331
61,20160411,수원,0.0,1,2,1,2,24,25,5,01,05,1,08,127.01540921,37.31957606
62,20160411,이천,0.0,1,2,1,1,11,01,5,02,06,1,12,127.2125519,37.25905948
63,20160412,이천,0.0,1,2,1,3,34,31,5,01,05,5,##,127.09337525,37.33627491
64,20160414,이천,0.0,1,1,1,1,11,01,7,02,08,1,12,127.11201084,37.32573718
65,20160415,동두천,0.0,1,1,1,2,23,Z1,1,01,05,3,05,127.24714434,37.80408236
66,20160419,동두천,0.0,2,2,5,2,23,Z1,5,01,05,1,03,127.21221594,37.88238024
67,20160422,수원,0.0,1,1,1,3,34,31,5,1,05,5,##,127.0520603,37.22743578
68,20160422,파주,0.0,1,1,2,2,23,Z1,5,1,05,3,03,126.808807,37.59683422
69,20160423,양평,0.0,1,1,1,2,23,Z1,5,1,1,1,10,127.37678584,37.77393276
70,20160427,수원,0.0,1,2,1,1,11,01,5,01,05,1,12,127.01557977,37.29475255
71,20160427,파주,0.0,2,2,3,1,11,01,1,2,08,1,12,126.78074976,37.64837585
72,20160427,파주,0.0,1,2,1,1,11,01,5,1,05,3,12,126.74416161,37.69274444
73,20160427,동두천,0.0,1,1,4,1,15,5,5,2,6,3,12,127.05886524,37.89253183
74,20160427,동두천,0.0,1,2,1,1,15,05,5,01,05,1,12,127.17963047,37.8074783
75,20160430,수원,0.0,1,2,1,2,24,25,3,02,06,1,01,126.96999105,37.29095163
76,20160430,수원,0.0,1,2,1,2,22,22,5,1,05,7,03,126.81664692,37.10845338
77,20160430,양평,0.0,1,2,5,3,34,31,5,01,05,3,##,127.56510293,37.47983358
78,20160501,파주,0.0,1,2,1,1,15,05,5,1,05,1,12,126.76383173,37.68677596
79,20160504,파주,0.0,1,2,1,1,11,01,7,1,Z1,1,12,126.76411115,37.6688234
80,20160508,양평,0.0,1,1,1,3,35,37,5,1,5,5,##,127.50658969,37.81596252
81,20160509,이천,0.0,1,1,3,2,23,Z1,5,02,08,3,03,127.34644033,37.17368398
82,20160511,수원,0.0,1,1,1,3,31,32,5,1,05,1,##,126.73308031,37.0738601
83,20160512,수원,0.0,1,2,1,3,34,31,5,1,05,1,##,126.94383541,37.21479912
84,20160512,수원,0.0,1,2,1,1,15,05,7,01,05,1,12,127.01383073,37.27550068
85,20160513,이천,0.0,1,1,1,2,22,22,6,02,06,5,03,127.31184062,37.14884512
86,20160517,이천,0.0,1,2,1,1,11,01,5,1,5,3,12,127.63140065,37.12076122
87,20160518,수원,0.0,1,1,1,1,12,02,5,1,05,4,12,126.97249131,37.10696857
88,20160519,수원,0.0,1,1,2,2,23,Z1,5,1,05,3,03,127.02817413,37.22014084
89,20160520,파주,0.0,1,1,1,3,31,32,5,1,05,1,##,126.77876113,37.63012085
90,20160521,파주,0.0,1,1,1,3,31,32,5,1,05,7,##,126.8380445,37.63005374
91,20160523,양평,0.0,1,1,1,3,34,31,5,Z3,Z3,1,##,127.52899838,37.50495105
92,20160523,동두천,0.0,1,1,2,2,21,21,2,01,05,3,01,127.25596146,38.02387424
93,20160523,이천,0.0,1,2,3,2,23,Z1,5,01,05,1,03,127.29885855,37.24160611
94,20160525,수원,0.0,2,2,10,2,22,22,5,1,05,3,04,126.8851874,37.25731637
95,20160528,수원,0.0,1,2,1,2,24,25,5,1,05,1,03,126.8206791,37.11694077
96,20160531,이천,0.0,1,2,1,1,11,01,5,01,05,1,12,127.07617552,37.30936222
97,20160601,파주,0.0,1,2,1,1,11,01,7,1,Z1,1,12,126.78189732,37.85481894
98,20160601,양평,0.0,1,1,5,2,21,21,99,02,06,1,01,127.45798241,37.57943554
99,20160602,파주,0.0,1,1,1,3,35,37,99,1,05,2,##,126.78426868,37.66440478
100,20160606,동두천,0.0,1,2,1,1,11,01,5,02,06,1,12,127.17165484,37.861499
101,20160607,수원,0.0,1,2,2,2,21,21,2,1,03,1,01,126.888,37.24280052
102,20160608,수원,0.0,1,1,2,1,15,05,5,1,05,2,12,126.8850498,37.23955825
103,20160609,이천,0.0,1,1,1,1,13,03,5,1,5,1,12,127.4477498,37.27860576
104,20160611,이천,0.0,1,2,1,1,12,02,5,01,05,1,12,127.08336878,37.31870812
105,20160613,이천,0.0,1,1,2,2,23,Z1,5,01,04,2,01,127.15322659,37.26789655
106,20160618,수원,0.0,1,2,1,2,22,22,4,2,08,3,07,127.0272693,37.20799534
107,20160618,이천,0.0,1,1,5,2,22,22,3,02,06,1,01,127.10573285,37.28294543
108,20160619,이천,0.0,1,2,2,3,34,31,5,01,05,2,##,127.14858606,37.27625684
109,20160621,동두천,0.0,1,1,1,2,22,22,5,01,05,4,07,127.22660879,37.77867336
110,20160621,수원,0.0,1,2,1,3,31,32,5,01,05,5,##,127.07819483,37.28927744
111,20160625,수원,0.0,1,2,1,1,11,01,5,01,05,1,12,127.00181949,37.30605292
112,20160626,수원,0.0,1,1,1,2,21,21,6,2,06,1,05,126.89536847,37.16717502
113,20160626,파주,0.0,1,2,2,2,22,22,99,1,05,1,05,126.78766235,37.6367366
114,20160627,수원,0.0,2,2,2,1,15,05,5,1,05,3,12,126.906274,37.270404
115,20160703,동두천,0.0,2,1,4,2,21,21,2,01,05,1,01,127.3845695,38.03262402
116,20160703,동두천,0.0,1,1,1,2,22,22,3,2,6,2,5,127.0522938,37.89591393
117,20160707,파주,0.0,1,2,1,1,12,02,5,1,05,1,12,126.71838803,37.70172476
118,20160709,이천,0.0,1,2,1,2,23,Z1,5,2,8,7,01,127.45375539,37.28970448
119,20160711,동두천,0.0,1,2,1,3,34,31,5,02,08,5,##,127.21014453,37.81023425
120,20160713,양평,0.0,1,2,1,2,21,21,5,01,05,1,07,127.56759079,37.41651965
121,20160720,동두천,0.0,1,2,1,2,24,25,5,01,05,3,08,127.21299526,37.88082288
122,20160722,수원,0.0,1,1,2,2,24,25,99,01,05,3,01,127.03821554,37.2739668
123,20160724,수원,0.0,1,2,1,1,11,01,5,01,05,1,12,127.00792553,37.29719979
124,20160726,파주,0.0,1,1,1,2,21,21,5,1,05,7,03,126.77949582,37.76745016
125,20160726,파주,0.0,1,2,1,3,31,32,5,2,06,1,##,126.79477282,37.79788956
126,20160728,동두천,0.0,1,2,1,1,15,5,5,1,5,1,12,127.04327883,37.93200325
127,20160728,이천,0.0,1,2,1,1,15,05,5,1,5,1,12,127.52141976,37.23358121
128,20160728,이천,0.0,1,2,1,3,31,32,5,01,05,1,##,127.05847534,37.32769482
129,20160731,수원,0.0,1,1,1,2,22,22,6,02,08,8,01,127.00940398,37.29540315
130,20160801,수원,0.0,1,1,2,2,23,Z1,5,2,08,3,01,126.93651738,37.17280429
131,20160803,이천,0.0,1,2,4,2,23,Z1,5,Z3,Z3,3,03,127.23239453,37.23190165
132,20160803,파주,0.0,1,2,1,3,34,31,5,1,05,7,##,126.84404922,37.69467635
133,20160804,이천,0.0,1,1,6,1,15,05,99,01,05,2,12,127.13358518,37.33180019
134,20160804,수원,0.0,1,2,1,3,31,32,5,01,05,5,##,127.0176447,37.25052062
135,20160807,파주,0.0,1,1,1,3,31,32,5,1,05,3,##,126.84831984,37.80016278
136,20160812,이천,0.0,1,2,1,1,11,01,7,1,5,1,12,127.4496801,37.27654239
137,20160812,수원,0.0,1,1,1,2,23,Z1,4,1,05,5,03,126.93904104,37.19254798
138,20160813,수원,0.0,1,2,2,3,34,31,5,01,05,7,##,127.05056298,37.2650815
139,20160813,수원,0.0,1,2,1,1,11,01,1,02,08,1,12,126.98212076,37.25119986
140,20160815,파주,0.0,1,2,1,1,12,02,5,2,06,2,12,126.87067341,37.84976586
141,20160815,양평,0.0,1,2,1,3,31,32,5,1,5,1,##,127.35944359,37.80551369
142,20160816,이천,0.0,1,2,1,2,24,25,5,01,05,1,01,127.10657318,37.22983785
143,20160819,수원,0.0,1,1,1,2,22,22,4,01,05,2,05,127.00200264,37.26457171
144,20160820,이천,0.0,1,1,1,1,11,01,5,02,06,1,12,127.08759097,37.32056175
145,20160821,이천,0.0,1,1,1,3,31,32,5,2,6,1,##,127.45980635,37.28247747
146,20160821,이천,0.0,1,2,1,3,34,31,5,1,5,5,##,127.50959073,37.2983305
147,20160822,파주,0.0,1,1,1,1,11,01,7,2,06,3,12,126.77661384,37.75909541
148,20160827,수원,0.0,1,2,1,1,11,01,5,2,06,1,12,126.97163197,37.22726653
149,20160901,수원,0.0,1,2,1,1,11,01,5,01,Z1,7,12,127.02117488,37.27533231
150,20160910,이천,0.0,1,1,1,1,15,05,5,01,05,3,12,127.21937653,37.35269458
151,20160910,이천,0.0,1,1,2,2,21,21,5,02,08,3,03,127.20705571,37.21642765
152,20160910,수원,0.0,1,2,1,2,22,22,5,02,06,8,01,127.01850406,37.25014553
153,20160910,파주,0.0,1,2,1,2,24,25,2,1,05,1,05,126.90451515,37.6197812
154,20160911,파주,0.0,1,1,1,2,22,22,3,2,06,5,02,126.74940519,37.71153432
155,20160915,파주,0.0,1,1,1,3,35,37,5,1,05,8,##,126.69845051,37.66860275
156,20160919,파주,0.0,1,1,1,2,24,25,5,2,06,10,08,126.7431169,37.67277353
157,20160920,파주,0.0,1,2,1,1,11,01,7,2,08,2,12,126.84015593,37.82916635
158,20160920,수원,0.0,1,2,1,2,23,Z1,5,01,05,1,03,126.96009262,37.2662629
159,20160922,수원,0.0,1,1,1,1,15,05,5,01,05,1,12,126.96988288,37.29672003
160,20160925,양평,0.0,1,1,1,1,15,05,5,2,8,1,12,127.36549171,37.79668781
161,20160926,수원,0.0,1,1,1,3,31,32,5,1,05,1,##,127.06329705,37.14168176
162,20160928,수원,0.0,1,1,1,1,11,01,5,01,Z1,1,12,126.99835931,37.2969433
163,20160929,수원,0.0,1,2,2,3,31,32,5,01,04,5,##,126.96932735,37.28392864
164,20160929,수원,0.0,1,1,1,1,11,01,7,02,06,2,12,127.0447707,37.2643022
165,20160929,파주,0.0,1,1,2,3,34,31,5,1,05,5,##,126.85336409,37.64735411
166,20160929,이천,0.0,1,2,1,1,12,02,5,01,05,2,12,127.10423753,37.27336763
167,20160930,이천,0.0,1,1,1,1,11,01,7,02,08,2,12,127.1055674,37.27141604
168,20161004,이천,0.0,1,2,3,2,22,22,3,02,06,5,02,127.12140339,37.32542508
169,20161009,수원,0.0,1,2,1,1,11,01,5,02,06,5,12,126.98113373,37.27509147
170,20161009,동두천,0.0,1,2,1,1,11,01,5,01,05,1,12,127.28573531,37.85444321
171,20161010,수원,0.0,1,1,1,1,11,01,7,02,06,3,12,127.01825983,37.28318062
172,20161010,수원,0.0,1,2,1,1,11,01,5,1,05,1,12,127.03803616,37.20358489
173,20161012,파주,0.0,1,2,1,1,15,05,5,2,08,10,12,126.87200013,37.64328163
174,20161013,이천,0.0,2,1,4,2,24,25,3,2,6,1,03,127.39974742,37.26525213
175,20161014,파주,0.0,1,1,4,2,21,21,2,1,05,1,03,126.8981664,37.80672811
176,20161019,파주,0.0,1,2,1,2,22,22,3,2,06,1,05,126.87592635,37.58039824
177,20161021,수원,0.0,1,2,1,1,11,01,5,2,08,1,12,126.97248512,37.16137777
178,20161021,동두천,0.0,1,1,1,3,34,31,5,01,05,5,##,127.27308325,37.91748388
179,20161022,파주,0.0,1,1,1,1,12,02,5,2,06,10,12,126.82979105,37.71234316
180,20161024,이천,0.0,1,2,1,2,23,Z1,5,01,05,3,03,127.26418586,37.24615733
181,20161024,파주,0.0,1,1,2,2,21,21,2,1,05,7,03,126.81997695,37.86727559
182,20161024,이천,0.0,1,1,14,2,22,22,5,01,05,2,02,127.10390413,37.26595704
183,20161026,파주,0.0,1,1,1,3,31,32,5,2,08,5,##,126.87151657,37.6105246
184,20161029,수원,0.0,1,2,1,1,11,01,5,01,Z1,1,12,127.02175882,37.25612597
185,20161029,수원,0.0,1,1,2,2,24,25,5,1,05,1,05,126.67168695,37.24045739
186,20161030,수원,0.0,1,2,1,2,24,25,5,1,05,1,10,126.80340322,37.2050786
187,20161030,수원,0.0,1,1,2,2,23,Z1,5,1,05,1,01,126.94014476,37.20024216
188,20161031,수원,0.0,1,2,1,1,11,01,5,1,05,2,12,126.92898031,37.1594905
189,20161031,양평,0.0,1,1,1,2,24,25,5,01,05,1,08,127.61779218,37.50476068
190,20161102,이천,0.0,1,2,2,1,15,05,5,1,5,2,12,127.61738011,37.12428247
191,20161104,파주,0.0,1,1,1,1,11,01,1,2,06,1,12,126.78618207,37.64693067
192,20161104,동두천,0.0,1,1,2,2,21,21,2,01,05,3,10,127.22115463,38.13486099
193,20161105,양평,0.0,1,1,2,2,21,21,2,1,5,5,01,127.49278095,37.62814278
194,20161105,파주,0.0,1,2,1,1,12,02,5,1,05,3,12,126.87892657,37.84828648
195,20161105,이천,0.0,1,2,1,2,21,21,3,02,06,1,05,127.21277575,37.26247633
196,20161109,동두천,0.0,1,2,1,1,15,05,5,01,05,1,12,127.14467855,37.82573783
197,20161112,이천,0.0,1,2,1,1,11,01,5,01,05,1,12,127.10748421,37.27153959
198,20161112,파주,0.0,1,1,1,3,35,37,5,1,05,5,##,126.72558277,37.70909091
199,20161117,동두천,0.0,1,2,1,1,11,01,7,01,Z1,3,12,127.23305516,37.87119004
200,20161117,수원,0.0,1,1,2,2,22,22,3,2,06,1,05,127.10735655,37.2091983
201,20161119,양평,0.0,1,1,1,3,34,31,5,1,5,11,##,127.55389197,37.86861416
202,20161121,수원,0.0,1,1,1,2,23,Z1,5,1,05,3,10,126.81425214,37.10568124
203,20161121,동두천,0.0,2,2,3,2,23,Z1,5,01,05,3,10,127.30511507,37.95428722
204,20161123,파주,0.0,1,2,1,1,12,02,5,2,06,1,12,126.84068626,37.65428726
205,20161125,수원,0.0,1,2,1,2,24,25,5,2,08,1,01,126.94924558,37.22096292
206,20161127,이천,0.0,1,1,1,1,11,01,3,02,08,3,12,127.06522822,37.29190765
207,20161128,파주,0.0,1,1,1,1,12,02,5,2,06,3,12,126.82412763,37.86468574
208,20161129,파주,0.0,1,1,1,1,11,01,5,1,05,1,12,126.78572117,37.85553619
209,20161129,수원,0.0,1,2,1,1,12,02,5,1,05,1,12,127.00153462,37.13346963
210,20161201,수원,0.0,1,2,1,3,34,31,5,01,04,1,##,126.99401493,37.27005436
211,20161201,파주,0.0,1,1,3,2,23,Z1,5,1,05,3,03,126.88259325,37.67401878
212,20161203,이천,0.0,1,1,1,1,15,05,5,Z3,Z3,3,12,127.10562803,37.23599128
213,20161204,파주,0.0,1,2,1,3,34,31,5,1,05,1,##,126.69017491,37.76746504
214,20161206,파주,0.0,1,1,1,1,11,01,5,1,05,1,12,126.78916505,37.68122603
215,20161210,이천,0.0,1,2,1,1,11,01,5,1,5,1,12,127.49980821,37.2894431
216,20161211,이천,0.0,1,1,2,1,14,04,5,01,05,1,12,127.11927627,37.32196594
217,20161211,수원,0.0,1,1,3,2,24,25,5,02,06,1,01,126.98883256,37.29753351
218,20161213,파주,0.0,1,1,1,2,24,25,5,1,05,7,03,126.87833248,37.7388555
219,20161215,이천,0.0,1,2,1,1,15,05,5,1,5,1,12,127.46879401,37.31747242
220,20161216,양평,0.0,1,2,3,1,11,01,5,1,5,1,12,127.52849171,37.89673485
221,20161217,수원,0.0,1,1,2,2,21,21,3,2,08,1,01,126.78741616,37.20347818
222,20161217,양평,0.0,1,2,1,2,24,25,2,01,05,1,07,127.60552525,37.48702436
223,20161220,이천,0.0,1,1,1,1,15,05,5,1,5,1,12,127.52193793,37.23215689
224,20161224,수원,0.0,1,2,1,1,11,01,5,01,05,2,12,127.03238112,37.26349674
225,20161224,양평,0.0,1,1,6,2,21,21,2,1,2,3,02,127.4685523,37.67942524
226,20161224,양평,0.0,1,1,1,3,34,31,5,1,2,1,##,127.38801918,37.68140428
227,20161225,수원,0.0,1,2,1,1,11,01,5,01,05,1,12,127.00225544,37.26386067
228,20161230,이천,0.0,1,1,2,2,22,22,2,01,05,1,01,127.30786091,37.17735956
